Image Name,Keywords
Eld's Deer,NZP-20101102-170MM,"SCBI,Front Royal,Fall foliage,Species: eldii,Genus: Rucervus,Family: Cervidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Eld's Deer,Burmese Brow-antlered Deer,Deer,Ungulate,Even-toed ungulate,fall color,female"
Alpaca,NZP-20110826-068MM,"Species: pacos,Genus: Lama,Family: Camelidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Kid's Farm,Alpaca,Ungulate,Even-toed ungulate,Orion,male"
North American River Otter,NZP-20080910-315MM,"Species: canadensis,Genus: Lontra,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,North American River Otter,Otter,Mustelid,Beaver Valley,American Trail"
Damaraland Mole-rat,NZP-20111005-218MM,"Species: damarensis,Genus: Cryptomys,Family: Bathyergidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Mole-rat,Damaraland Mole-rat,Rodent,SMH,Small Mammal House,horizontal"
Sinaloan Milksnake,NZP-20050609-508JC,"Species: triangulum,Genus: Lampropeltis,Family: Colubridae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake"
Fishing Cat,NZP-20060920-149MM-000001,"Fishing Cat,Species: viverrinus,Genus: Prionailurus,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Cat,Asia Trail,horizontal,water,Electra,female"
Tokay Gecko,NZP-2559-5JC,"Species: gecko,Genus: Gekko,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,lizard"
Hawk-headed Parrot,NZP-20181114-4038SB,"Species: accipitrinus,Genus: Deroptyus,Family: Psittacidae,Order: Psittaciformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Hawk-headed Parrot,Red-fan Parrot,Parrot,Bird,Amazonia"
Guam Rail,NZP-6077-42JC,"Species: owstoni,Genus: Gallirallus,Family: Rallidae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,1994"
Sloth Bear,NZP-20080410-221MM,"Khali,female,Species: ursinus,Genus: Melursus,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Bear,Sloth Bear,Asia Trail,horizontal"
Banded Rock Rattlesnake,NZP-20180131-9142JPJ,"Kingdom: Animalia,Phylum: Chordata,Class: Reptilia,Order: Squamata,Family: Viperidae,Genus: Crotalus,Species: lepidus,Banded Rock Rattlesnake,snake,Reptile"
Lowland Gorilla,NZP-20020429-7740JC,"Species: gorilla,Genus: Gorilla,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Gorilla,Western Gorilla,Lowland Gorilla,Kigali,female,horizontal,Ape,Primate"
Caiman Lizard,NZP-20180127-6600JJ,"Reptile,Species: guianensis,Genus: Dracaena,Family: Teiidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Caiman Lizard,Lizard"
Clouded Leopard Cub,NZP-20190909_0625SP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Carnivora,Family: Felidae/Pantherinae,Genus and Species: Neofelis nebulosa,Mammals,Carnivores,Couded Leopards"
Oriental Fire-bellied Toad,NZP-20081211-164MM,"water,Species: orientalis,Genus: Bombina,Family: Discoglossidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Porcupette,NZP-20191108_006RP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,Animals,NZP,Open Access/CCO,Open Access,CCO,prehensile-tailed porcupines,porcupettes,Mammals,Mammalia,Rodents,Rodentia,Erethizontidae,Coendou prehensilis"
Giant Panda,NZP-26-PEN-4-26JC,"Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,May 1980,Hsing-Hsing,Ling-Ling,Giant Panda,Bear,horizontal,panda furniture,yard,outside,encounter"
Red River Hog,NZP-20180120-003CPM,"Species: porcus,Genus: Potamochoerus,Family: Suidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Red River Hog,Hog,Ungulate,Even-toed ungulate"
Banded Leporinus,NZP-20100928-130MM,"Species: affinus,Genus: Leporinus,Family: Anostomidae,Order: Characiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,Amazonia,fish,horizontal,banded leporinus"
Clouded Leopard Cub,NZP-20190904_0434SP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Carnivora,Family: Felidae/Pantherinae,Genus and Species: Neofelis nebulosa,Mammals,Carnivores,Couded Leopards"
Lesser Kudu,NZP-20171103-007GM,"Cheetah Conservation Station,Species: imberbis,Genus: Tragelaphus,Family: Bovidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Lesser Kudu,Even-toed Ungulate,Ungulate,Garrett"
Giant Panda,NZP-20081107-499MM-000002,"fall color,fall leaves,Tai Shan,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Giant Panda,Bear,male,yard,outside,horizontal,fall foliage"
Prehensile-tailed Porcupine,NZP-20090901-013MM,"baby,Species: prehensilis,Genus: Coendou,Family: Erethizontidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rodent,Prehensile-tailed Porcupine,Porcupine,SMH,Small Mammal House,Brazilian Porcupine,infant,young,Coendu,horizontal"
African Lion,NZP-20110524-140MM,"Species: leo,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,cubs,Cat,Lion,African Lion,cub,baby,young,horizontal,Luke,male,father"
Chinese Three-striped Box Turtle,NZP-20131219-2665AW,"Kingdom: Animalia,Phylum: Chordata,Class: Reptilia,Order: Testudines,Family: Bataguridae,Genus: Cuora,Species: bourreti,Reptile,Turtle"
Channel Catfish,NZP-20170622-084CPM-000001,"Species: punctatus,Genus: Ictalurus,Family: Ictaluridae,Order: Siluriformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,Channel Catfish,Catfish,Fish,Kids Farm"
Asian Small-clawed Otter,NZP-20070723-363MM-000001,"Asia Trail,Species: cinerea,Genus: Aonyx,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Otter,Mustelid,Asian Small-clawed otter,horizontal"
Black-and-white Ruffed Lemur,NZP-20181114-4003SB,"Species: variegata,Genus: Varecia,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Black-and-white Ruffed Lemur,Lemur,Primate"
Gray Seal,NZP-20140320-165CPM,"Species: grypus,Genus: Halichoerus,Family: Phocidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Pup,American Trail,Rona,Gray Seal,Seal,Pinnipede,Fish,behind the lines,AMT,Mother: Kara"
Porcupette,NZP-20191108_008RP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,Animals,NZP,Open Access/CCO,Open Access,CCO,prehensile-tailed porcupines,porcupettes,Mammals,Mammalia,Rodents,Rodentia,Erethizontidae,Coendou prehensilis"
Przewalski's Wild Horse,NZP-20050620-124JC,"Species: przewalskii,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Przewalski's Wild Horse,Wild Horse,Horse,P Horse,Ungulate,Odd-toed Ungulate,SCBI,Front Royal,male,horizontal"
Malagasy Jumping Rat,NZP-20130421-002CN-000001,"Giant Jumping Rat,Malagasay Giant Jumping Rat,Small Mammal House,SMH,Species: antimena,Genus: Hypogeomys,Family: Nesomyidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rodent,Rat"
Giant Panda,NZP-20070321-092MM,"Mei Xiang,Yard 2,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,female,Bear,Giant Panda,yard,outside,horizontal"
Red Panda,NZP-20080829-208MM,"Asia Trail,male,female,Species: fulgens,Genus: Ailurus,Family: Ailuridae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Red Panda,horizontal,Shama,Wicket,tree"
Red-fronted Lemur,NZP-20181114-3913SB,"Species: rufus,Genus: Eulemur,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Red-fronted Lemur,Lemur,Primate,pumpkin,Thanksgiving"
Von der Decken's Hornbill,NZP-20160209-022CTW,"Von der Decken's Hornbill,Small Mammal House,Species: deckeni,Genus: Tockus,Family: Bucerotidae,Order: Coraciiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Hornbill,Bird,SMH"
Channel Catfish,NZP-20160518-1340NM,"Kids Farm,Catfish,Channel Catfish,fish,Species: punctatus,Genus: Ictalurus,Family: Ictaluridae,Order: Siluriformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia"
Moyo the Grevy's Zebra,NZP-20190322_036CPM,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Grevy's Zebra,Mammalia,Mamma,s,Perissodactyla,Equidae,Equus grevyi"
White-naped Crane,NZP-20170629-1241RP,"SCBI,White-naped Crane,Front Royal,Species: vipio,Genus: Grus,Family: Gruidae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Crane,Bird"
American Bison,NZP-20141105-008CPM,"Species: bison,Genus: Bison,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,American Bison,Bison,Ungulate,Even-toed ungulate,Zora"
La Plata Three-banded Armadillo,NZP-20111005-064MM,"Species: matacus,Genus: Tolypeutes,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Armadillo,Three banded armadillo,Edentate,Xenarthara,La Plata Three-banded Armadillo,Southern Three-banded Armadillo,SMH,Small Mammal House,horizontal"
American Beaver,NZP-20181031-112SB-000001,"Species: canadensis,Genus: Castor,Family: Castoridae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,American Beaver,Beaver,Rodent,AMT,American Trail"
Abyssinian Ground Hornbill,NZP-20160730-019GM,"Species: abyssinicus,Genus: Bucorvus,Family: Bucorvidae,Order: Coraciiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Abyssinian Ground Hornbill,Hornbill,Bird,Klarisse,female"
Rhinoceros Snake,NZP-20101116-076MM,"Species: boulengeri,Genus: Rhyncophis,Family: Colubridae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake,open mouth"
NZP-20190912_117SB,NZP-20190912_117SB,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Primates,Family: Hylobatidae,Genus and Species: Symphalangus syndactylus,Mammals,Great Apes,Siamangs"
Asian Elephant,NZP-20160323-90AM,"Species: maximus,Genus: Elephas,Family: Elephantidae,Order: Proboscidea,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Asian Elephant,Elephant,Shanthi,female"
Cuban Crocodile,NZP-20160216-018CTW,"Species: rhombifer,Genus: Crocodylus,Family: Crocodylidae,Order: Crocodylia,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Cuban Crocodile,Crocodile,Reptile,juvenile"
White-eared Titi Monkey,NZP-20180920-5101SB,"Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Primates,Family: Pitheciidae,Genus: Callicebus,Species: donacophilus,White-eared Titi Monkey,Bolivian Gray Titi,Titi Monkey,Primate,Amazonia"
Common Opossum,NZP-20180107-8639CN-000001,"Species: marsupialis,Genus: Didelphis,Family: Didelphidae,Order: Didelphimorphia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Common Opossum,Opossum,Marsupial,Minnie,SMH,Small Mammal House"
Maned Wolf,NZP-20160729-011GM,"Species: brachyurus,Genus: Chrysocyon,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Maned Wolf,Wolf,Canine,Mateo,male"
Brazilian Rainbow Boa,NZP-20031208-245JC,"Species: cenchria,Genus: Epicrates,Family: Boidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake"
Short-eared Elephant Shrew,NZP-20160219-054CTW,"Species: proboscideus,Genus: Macroscelides,Family: Macroscelididae,Order: Macroscelidea,Class: Mammalia,Phylum: Chordata,King:Animalia,Short-eared Elephant Shrew,Shrew,SMH,Small Mammal House"
Electric Eel,NZP-20171003-4301RP,"Genus: Electrophorus,Family: Gymnotidae,Order: Gymnotiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,Electric Eel,Eel,fish,Amazonia"
Norway Rat,NZP-20110506-034MM,"Species: norvegicus,Genus: Rattus,Family: Muridae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Norway Rat,Brown Rat,Rodent,Think Tank"
Asian Small-clawed Otter,NZP-20080409-395MM,"female,Asia Trail,Species: cinerea,Genus: Aonyx,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Otter,Mustelid,Asian Small-clawed otter,horizontal"
Aquatic Caecilian,NZP-20081204-241JC,Species: natans Genus: Typhlonectes Family: Caeciliidae Order: Gymnophiona Class: Amphibia Phylum: Chordata Kingdom: Animalia adult Amazonia Exhibit Amphibian
Southern Tamandua,NZP-20181029-9223RP,"Species: tetradactyla,Genus: Tamandua,Family: Myrmecophagidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Southern Tamandua,Collared Anteater,SMH,Small Mammal House"
Gray Wolf,NZP-20180117-8429RP,"Species: lupus,Genus: Canis,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Gray Wolf,Wolf,Canine,American Trail,snow,winter,Coby,male"
Matamata,NZP-20071227-110MM,"turtle,Species: fimbriatus,Genus: Chelus,Family: Chelidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile"
Degu,NZP-20131207-004CN,"Species: degus,Genus: Octodon,Family: Octodontidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Degu,SMH,Small Mammal House,Rodent"
Asian Small-clawed Otter,NZP-20070723-148MM,"Asia Trail,Species: cinerea,Genus: Aonyx,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Otter,Mustelid,Asian Small-clawed otter,horizontal"
Timor Python,NZP-20110809-134MM,"Species: timoriensis,Genus: Python,Family: Pythonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,snake,Reptile house,horizontal"
Schmidt's Red-tailed Monkey,NZP-20150909-0223MM,"Allen's Swamp Monkey,Class: Mammalia,Family: Cercopithecidae,Genus: Allenopithecus,Genus: Cercopithecus,Kingdom: Animalia,Monkey,Order: Primates,Phylum: Chordata,Primate,Red-tailed Guenon,Schmidt's Red-tailed Monkey,Species: ascanius,Species: nigroviridis,Think Tank"
Przewalski's Wild Horse,NZP-20080703-1102JC,"Species: przewalskii,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Przewalski's Wild Horse,Wild Horse,Horse,P Horse,Ungulate,Odd-toed Ungulate,SCBI,Front Royal,foal,Princess Polywog,baby,young,female,filly,horizontal"
Fishing Cat,NZP-20110217-116MM,"Species: viverrinus,Genus: Prionailurus,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Fishing Cat,Cat,Lek,male,Asia Trail"
Roseate Spoonbill,NZP-20160226-343CTW,"Species: ajaja,Genus: Ajaia,Family: Threskiornithidae,Order: Ciconiiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Amazonia,Roseate Spoonbill,Spoonbill,Bird"
African Lion,NZP-20080117-316MM,"snow,bone,Species: leo,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,African Lion,Lion,Cat,male,horizontal,winter,Luke"
Brown Kiwi,NZP-20100611-087MM,"female,Species: australis,Genus: Apteryx,Family: Apterygidae,Order: Struthioniformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,chick,young,baby,Bird,Kiwi"
Black-tailed Prairie Dog,NZP-20160130-9089CN,Prairie Dog
American Guinea Pig Tuta,NZP-20191215_009CC,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Rodentia,Family: Caviidae,Genus and Species: Cavia porcellus,Rodents,Guinea Pigs,Mammals,Amazonia Exhibit"
Fly River Turtle,NZP-20160216-010CTW,"Species: insculpta,Genus: Carettochelys,Family: Carettockelyidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Fly River Turtle,Turtle,Reptile"
Lesser Kudu,NZP-20160730-022GM,"Species: imberbis,Genus: Tragelaphus,Family: Bovidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,lesser kudu,Kudu,Garrett,male,Ungulate,Even-toed Ungulate,Lesser Kudu"
Red Panda,NZP-20130618-5093AW-000001,"Species: fulgens,Genus: Ailurus,Family: Ailuridae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rusty,male,Asia Trail,horizontal,Red Panda,tree"
Emu,NZP-20060328-57JC-000001,"male,Darwin,Species: novaehollandiae,Genus: Dromaius,Family: Dromaiidae,Order: Struthioniformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Ratites"
Tokay Gecko,NZP-2559-4JC,"Species: gecko,Genus: Gekko,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,lizard"
Caiman Lizard,NZP-20130313-038CPM-000001,"Species: guianensis,Genus: Dracaena,Family: Teiidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Lizard"
Brazillian Agouti,NZP-20160210-263CTW,"Small Mammal House,SMH,Species: leporina,Genus: Dasyprocta,Family: Dasyproctidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Agouti,Brazillian Agouti,rodent"
Silver Arowana,NZP-20150121-8675AW-000001,"Amazonia,Fish,Species: bicirrhosum,Genus: Osteoglossum,Family: Osteoglossidae,Order: Osteoglossiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,horizontal,Silver Arowana"
Giant Leaf-tailed Gecko,NZP-20180131-9094JPJ,"Reptile,Species: fimbriatus,Genus: Uroplatus,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Giant Leaf-tailed Gecko,Gecko"
Clouded Leopard Cub,NZP-20190904_0446SP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Carnivora,Family: Felidae/Pantherinae,Genus and Species: Neofelis nebulosa,Mammals,Carnivores,Couded Leopards"
Red-fronted Lemur,NZP-20181114-3926SB,"Species: rufus,Genus: Eulemur,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Red-fronted Lemur,Lemur,Primate,pumpkin,Thanksgiving"
Screaming Hairy Armadillo,NZP-20150208-9533CN,"Armadillo,Screaming Hairy Armadillo,Walter,Species: vellerosus,Genus: Chaetophractus,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Small Mammal House,SMH,Edentate,Xenarthara,Screaming hairy armadillo,horizontal,male"
Sand Cat,NZP-20140901-7385CN-000001,"Thor,Species: margarita,Genus: Felis,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Cat,Sand Cat,male,horizontal"
Holstein Cow,NZP-20180514-428RP,"Species: taurus,Genus: Bos,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Holstein Cow,Cow,Ungulate,Magnolia,calf,young,Kids Farm,Even-toed Ungulate"
Lowland Gorilla,NZP-20090514-081MM,"infant,baby,Kibibi,Mandara,Species: gorilla,Genus: Gorilla,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,vertical,Gorilla,Lowland Gorilla,Western Gorilla,Ape,Primate,young"
Red Ruffed Lemur,NZP-20140215-7603CN,"Coronado,Species: rubra,Genus: Varecia,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Lemur,Red-Ruffed Lemur,Primate,Prosimian,horizontal"
Black-footed Ferret,NZP-20090828-278MM,"CRC,AI,artificial insemination,Mother,Adult,Species: nigripes,Genus: Mustela,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,BFF,Black-footed Ferret,Ferret,Mustelid,SCBI,Front Royal,vertical"
Greater Rhea,NZP-20080424-365MM,"Species: americana,Genus: Rhea,Family: Rheidae,Order: Struthioniformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,female,Bird,Ratites"
Violet Line Piranha,NZP-20150528-066CPM,"Species: geryi,Genus: Serrasalmus,Family: Characidae,Order: Characiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,Violet Line Piranha,Piranaha,Fish,Amazonia"
Red Panda,NZP-20130618-5109AW-000001,"Species: fulgens,Genus: Ailurus,Family: Ailuridae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rusty,male,Asia Trail,horizontal,Red Panda,tree"
Orangutan,NZP-20071011-262JC,"Bonnie,Pongo pygmaeus: Bornea and Pongo abelii: Sumatran,Species: pygmaeus,Genus: Pongo,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Orangutan,Ape,female,horizontal,outside"
Gray Seal,NZP-20130301-113CPM,"Species: grypus,Genus: Halichoerus,Family: Phocidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,American Trail,Gray Seal,Seal,Pinnipede,Kjya"
San Clemente Island Goat,NZP-20180628-626SB,"Species: hircus,Genus: Capra,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,San Clemente Island Goat,Goat,Ungulate,Even-toed ungulate,Kids Farm"
Chinese Crocodile Lizard,NZP-20180131-9046JPJ,"Reptile,Species: crocodilurus,Genus: Shinisaurus,Family: Shinisauridae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Chinese Crocodile Lizard,Lizard"
Lesser Kudu,NZP-20171103-004GM,"Cheetah Conservation Station,Species: imberbis,Genus: Tragelaphus,Family: Bovidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Lesser Kudu,Even-toed Ungulate,Ungulate,Garrett"
Domestic Chicken,NZP-20170622-050CPM,"Species: unknown,Genus: unknown,Family: Anatidae,Order: Anseriformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Domestic Chicken,Chicken,Fowl,Bird,Kids Farm"
Green Anaconda,NZP-20130206-032CPM,"Species: murinus,Genus: Eunectes,Family: Boidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,snake"
Green Anaconda,NZP-20160216-194CTW,"Species: murinus,Genus: Eunectes,Family: Boidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Green Anaconda,Snake,Reptile"
Greater Rhea,NZP-20080521-298MM-000002,"male,Species: americana,Genus: Rhea,Family: Rheidae,Order: Struthioniformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Carlos,Bird,Ratites"
Golden-headed Lion Tamarin,NZP-20180622-5386RP,"Golden-headed Lion Tamarin,SMH,Small Mammal House,Species: chrysomelas,Genus: Leontopithecus,Family: Cebidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,GHLT,Primate,Monkey"
Yellow-spotted Amazon River Turtle,NZP-20170609-105RP,"Species: unifilis,Genus: Podocnemis,Family: Pelomedusidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Yellow-spotted Amazon River Turtle,Turtle,Reptile,Amazonia"
Andean Bear,NZP-20170714-1009NM-000001,"Species: ornatus,Genus: Tremarctos,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Andean Bear,Spectacled Bear,Bear,Bouba,male"
"Athena, Southern Two-toed Sloth",NZP-20200110_005RP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Pilosa,Family: Megalonychidae,Genus and Species: Choloepus didactylus,Sloths,Mammals,Small Mammal House"
Patagonian Mara,NZP-20170809-3080RP,"Species: patagonum,Genus: Dolichotis,Family: Cavidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Patagonian Hare,Patagonian Mara,Rodent,baby,young,pup"
Smooth-sided Toad,NZP-20050207-38JC,"Species: guttatus,Genus: Bufo,Family: Bufonidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Red River Hog,NZP-20130301-016CPM,"Species: porcus,Genus: Potamochoerus,Family: Suidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Red River Hog,Hog,Ungulate,Even-toed ungulate"
Gila Monster,NZP-2558-51JC,"Species: suspectum,Genus: Heloderma,Family: Helodermatidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,lizard"
Fennec Fox,NZP-20150503-5469CN,"Fennec Fox,Species: zerda,Genus: Vulpes,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Canid,Fox,SMH,Small Mammal House,horizontal"
Goeldi's Monkey,NZP-20170708-7297CN,"Species: goeldii,Genus: Callimico,Family: Cebidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Goeldi's Monkey,Goeldiâ s Marmoset,Monkey,Primate,SMH,Small Mammal House"
American Alligator,NZP-20050920-144AB,"Species: mississippiensis,Genus: Alligator,Family: Crocodylidae,Order: Crocodylia,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Pond,Reptile House,reptile,crocodilians"
Flagtail Characin,NZP-20060519-27CC-000001,"Species: insignus,Genus: Semaprochilodus,Family: Prochilodontidae,Order: Characiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,horizontal,fish,Amazonia,Flagtail Characin,characin"
