Image Name,Keywords
Eyelash Palm Pitviper,NZP-20050606-147JC,"Species: schlegelii,Genus: Bothriechis,Family: Viperidae crotalinae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake"
Goliath Bird-eating Tarantula,NZP-20100618-058MM,"Species: leblondi,Genus: Theraphosa,Family: Theraphosidae,Order: Araneae,Class: Arachnida,Phylum: Arthropoda,Kingdom: Animalia,Invertebrate,Arthropod"
American Flamingo,NZP-20090127-0422MM-000002,"snow,Species: ruber,Genus: Phoenicopterus,Family: Phoenicopteridae,Order: Phoenicopteriformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Flamingo,winter"
Giant Leaf-tailed Gecko,NZP-20100922-266MM-000002,"Species: fimbriatus,Genus: Uroplatus,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,lizard"
Guam Rail,NZP-215-24JC,"Species: owstoni,Genus: Gallirallus,Family: Rallidae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,1994"
Golden Lion Tamarin,NZP-20180807-074SB,"Small Mammal House,Golden Lion Tamarin,Izzy,Mo,Species: rosalia rosalia,Genus: Leontopithecus,Family: Cebidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,GLT,SMH,Primate,Monkey"
Hooded crane,NZP-20160529-07CC,"Species: monacha,Genus: Grus,Family: Gruidae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Tempest,Hooded Crane,Crane,SCBI,Front Royal,female,AI Chick"
American Bison,NZP-AmericanBison-04JA-000001,"Species: bison,Genus: Bison,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SCBI,American Bison,Bison,Ungulate,Even-toed ungulate,Front Royal"
South American Coati,NZP-20170622-134CPM,"Species: nasua,Genus: Nasua,Family: Procyonidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,South American Coati,Coati,SMH,Small Mammal House,Procyonid,Brown-nosed Coati"
Giant Panda,NZP-20100323-121MM,"bamboo,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Mei Xiang,female,Bear,Giant Panda,vertical"
Pale-headed Saki,NZP-20110311-163MM-000001,"Species: pithecia,Genus: Pithecia,Family: Pitheciidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Saki,Pale-headed Saki,Monkey,Primate,SMH,Small Mammal House,horizontal,St. Patrick's Day Enrichment,enrichment,male,Oberon"
Blue Poison Frog,NZP-20160216-174CTW,"Species: azureus,Genus: Dendrobates,Family: Dendrobatidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Blue Poison Frog,Frog,Amphibian"
Blue Poison Frog,NZP-20100615-157MM,Species: azureus Genus: Dendrobates Family: Dendrobatidae Order: Anura Class: Amphibia Phylum: Chordata Kingdom: Animalia Amphibian
